HS_CODE2,HS_code,MFN_Rate,Preferential_Rate(Agreement rate),Countries(abbreviated) for Preferential_Rate(Agreement rate),Preferential_Tariff_Rate(Special_Preferential_Tariff_Rate),,General_Tariff_Rate
"""4011.1000""",4011.1000 -( 10,10,0,"AS,CL,NZ,SG,CR,",0,LD,50
""")""",),,,"CH,IS,AU,GE,MU,KH,MV,",,,
,,,,"HK,MO,TW",,,
,,,2.6,KR,,,
,,,4,PK,,,
,,,6,RS,,,
,,,6.5,AP,,,
,,,7.3,"RAS R , KR",,,
,,,7.5,RJP,,,
,,,8,"RAU ,RNZ ,NI",,,
,,,8.8,EC,,,
"""4011.2000""",4011.2000 - 10,10,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"MV,HK,MO,TW",,,
,,,2,PK,,,
,,,2.6,KR,,,
,,,6,RS,,,
,,,6.5,AP,,,
,,,7.3,"AS R , KR",,,
,,,7.5,JP,,,
,,,8,"AU R , NZ ,NI,EC",,,
"""4011.3000""",4011.3000 - 1,1,0,"AS,CL,PK,NZ,PE,CR,",0,LD,11
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , JP R , KR ,KH,NI,EC,",,,
,,,,"RS,MV,HK,MO",,,
,,,0.6,"RAU , NZ",,,
"""4011.4000""",4011.4000 - 15,15,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"EC,MV,HK,MO,TW",,,
,,,4,KR,,,
,,,11,"AS ,RKR",,,
,,,11.3,JP,,,
,,,12,"PK, AU R , NZ",,,
,,,13,"NI,RS",,,
"""4011.5000""",4011.5000 - 20,20,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"EC,MV,HK,MO,TW",,,
,,,5.3,KR,,,
,,,14.7,"AS R , KR",,,
,,,15,JP,,,
,,,16,"AU , NZ",,,
,,,17.3,NI,,,
"""4011.7010""",4011.7010 -,17,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU ,RNZ ,KH,MV,",,,
,,,,"HK,MO,TW",,,
,,,10.5,RKR,,,
,,,11.1,JP,,,
,,,13.6,RS,,,
,,,14,PK,,,
,,,14.7,NI,,,
"""4011.7090""",4011.7090 -,25,0,"AS,CL,NZ,SG,CR,",0,LD,50
,,,,"IS,AU,GE,MU,KH,MV,HK,",,,
,,,,"MO,TW",,,
,,,11.2,KR,,,
,,,20,"AS R , AU R , KR R , NZ",,,
,,,21.7,NI,,,
"""-""",-,,,,,,
"""4011.8011""",4011.8011 61,17,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , NZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,10.5,KR,,,
,,,11.1,JP,,,
,,,13.6,RS,,,
,,,14,PK,,,
,,,14.7,NI,,,
,,,15,EC,,,
"""4011.8012""",4011.8012 61,17,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , NZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,10.5,KR,,,
,,,11.1,JP,,,
,,,13.6,RS,,,
,,,14,PK,,,
,,,14.7,NI,,,
"""4011.8091""",4011.8091 61,25,0,"AS,CL,NZ,SG,CR,",0,LD,50
,,,,"IS,AU,GE,MU,KH,MV,HK,",,,
,,,,MO,,,
,,,11.2,KR,,,
,,,20,"AS R , AU ,RNZ",,,
,,,21.7,"NI,RS",,,
"""4011.8092""",4011.8092 61,25,0,"AS,CL,NZ,SG,CR,",0,LD,50
,,,,"IS,AU,GE,MU,KH,MV,HK,",,,
,,,,MO,,,
,,,5,"AS ,RAU , NZ",,,
,,,11.2,KR,,,
,,,21.7,RS,,,
"""4011.9010""",4011.9010 -,17,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , NZ ,KH,MV,",,,
,,,,"HK,MO,TW",,,
,,,10.5,KR,,,
,,,11.1,JP,,,
,,,14,PK,,,
,,,14.7,"NI,RS",,,
"""4011.9090""",4011.9090 -,25,0,"AS,CL,NZ,SG,CR,",0,LD,50
,,,,"IS,AU,GE,MU,KH,MV,HK,",,,
,,,,MO,,,
,,,11.2,KR,,,
,,,20,"AS R , AU R , KR R , NZ",,,
,,,21.7,NI,,,
"""40.12""",40.12,40.12,,,,,
"""4012.11""",4012.11,20,0,"AS,CL,NZ,SG,PE,",0,LD,50
""")""",),,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"EC,MV,HK,MO",,,
,,,5.3,KR,,,
,,,12,"AS R , AU R , KR ,RNZ",,,
,,,15,RJP,,,
,,,17.3,NI,,,
"""4012.12""",4012.12,20,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"MV,HK,MO",,,
,,,5.3,KR,,,
,,,12,"AS , AU R , KR R , NZ",,,
,,,12.7,JP,,,
,,,17.3,NI,,,
"""4012.13""",4012.13,20?4,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"EC,MV,HK,MO",,,
,,,5.3,KR,,,
,,,14.7,"AS R , KR",,,
,,,15,JP,,,
,,,16,"AU R , NZ",,,
,,,17.3,NI,,,
"""4012.19""",4012.19,20,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"MV,HK,MO",,,
,,,5.3,KR,,,
,,,12,"RAS , AU R , KR R , NZ",,,
,,,15,JP,,,
,,,17.3,NI,,,
"""4012.2010""",4012.2010 -,25,0,"AS,CL,NZ,SG,CR,",0,LD,50
,,,,"IS,AU,GE,MU,KH,MV,HK,",,,
,,,,MO,,,
,,,11.2,KR,,,
,,,20,"AS , AU R , KR R , NZ",,,
,,,21.7,NI,,,
"""4012.2090""",4012.2090 - 25,25,0,"AS,CL,NZ,SG,CR,",0,LD,80
,,,,"IS,AU,GE,MU,KH,MV,HK,",,,
,,,,MO,,,
,,,11.2,KR,,,
,,,20,"AS R , AU R , KR R , NZ",,,
,,,21.7,NI,,,
"""4012.9010""",4012.9010 - 3,3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,11
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""4012.9020""",4012.9020 - 22,22,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"EC,MV,HK,MO",,,
,,,9.9,KR,,,
,,,17.6,"AS R , AU R , NZ",,,
,,,19.1,"NI,RS",,,
"""4012.9090""",4012.9090 - 22,22,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"MV,HK,MO",,,
,,,9.9,KR,,,
,,,13.2,EC,,,
,,,17.6,"RAS , AU R , NZ",,,
,,,19.1,"NI,RS",,,
"""40.13""",40.13,40.13,,,,,
"""4013.1000""",4013.1000 -( 15,15,0,"AS,CL,NZ,SG,PE,",0,LD,50
""")""",),,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"EC,MV,HK,MO",,,
,,,4,KR,,,
,,,7.5,PK,,,
,,,9,"AS R , AU , KR R , NZ",,,
,,,11.3,RJP,,,
,,,13,"NI,RS",,,
,,,13.1,AP,,,
"""4013.2000""",4013.2000 - 15,15,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , NZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,9,KR,,,
,,,9.5,JP,,,
,,,12,PK,,,
,,,13,"NI,RS",,,
,,,13.2,EC,,,
"""4013.9010""",4013.9010 - 3,3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,11
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS ,RAU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
,,,1.8,AP,,,
"""4013.9090""",4013.9090 - 15,15,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU ,RNZ ,KH,EC,",,,
,,,,"MV,HK,MO",,,
,,,9,KR,,,
,,,9.5,JP,,,
,,,12,PK,,,
,,,13,"NI,RS",,,
"""40.14""",40.14,40.14,,,,,
,",",,,,,,
"""4014.1000""",4014.1000 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,0
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""4014.9000""",4014.9000 - 17,17,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , NZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,10.5,KR,,,
,,,11.1,JP,,,
,,,14,PK,,,
,,,14.7,"NI,RS",,,
"""40.15""",40.15,40.15,,,,,
"""4015.1200""",4015.1200  8,8,0,"AS,CL,PK,NZ,SG,",0,LD,55
,,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,,"MU,RAS R , AU , KR ,",,,
,,,,"RNZ ,KH,NI,EC,MV,HK,",,,
,,,,MO,,,
,,,5.1,JP,,,
,,,6.4,RS,,,
"""4015.1900""",4015.1900  10,10,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , NZ ,KH,EC,",,,
,,,,"MV,HK,MO",,,
,,,8,"NI,RS",,,
,,,10.8,KR,,,
,,,11.5,JP,,,
"""4015.9010""",4015.9010 - 8,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,KR,AU,GE, RMU, AS ,",,,
,,,,"RAU , KR R , NZ ,KH,RS,",,,
,,,,"MV,HK,MO",,,
,,,5.1,JP,,,
,,,6.4,NI,,,
,,,6.9,EC,,,
"""4015.9090""",4015.9090 - 10,10,0,"AS,CL,NZ,SG,PE,",0,LD,90
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , NZ ,KH,EC,",,,
,,,,"MV,HK,MO",,,
,,,6,RS,,,
,,,8,NI,,,
,,,9,KR,,,
,,,9.5,JP,,,
"""40.16""",40.16,40.16,,,,,
"""4016.1010""",4016.1010 - 8,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"RS,MV,HK,MO",,,
,,,2.1,KR,,,
,,,5.9,"AS ,RKR",,,
,,,6,JP,,,
,,,6.4,"AU ,RNZ ,EC",,,
"""4016.1090""",4016.1090 - 15,15,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU ,RNZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,9,KR,,,
,,,9.5,RJP,,,
,,,12,PK,,,
,,,13,NI,,,
"""4016.9100""",4016.9100  10,10,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , NZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,8,"NI,RS",,,
,,,8.8,EC,,,
,,,10.8,RKR,,,
,,,11.5,JP,,,
"""4016.9200""",4016.9200  10,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,80
,,,,"IS,KR,AU,GE,MU,RAS ,",,,
,,,,"RAU , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,8,"NI,RS",,,
,,,8.8,EC,,,
,,,10.8,KR,,,
,,,11.5,RJP,,,
"""4016.9310""",4016.9310 - 8,8,0,"AS,CL,NZ,PE,CR,CH,",0,LD,30
,,,,"IS, RKR,AU,GE,MU, AS ,",,,
,,,,"RAU , KR R , NZ ,KH,NI,",,,
,,,,"MV,HK,MO",,,
,,,4,PK,,,
,,,4.8,RS,,,
,,,6,JP,,,
,,,6.4,EC,,,
"""4016.9390""",4016.9390 - 15,15,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS ,RAU , KR R , NZ ,KH,",,,
,,,,"MV,HK,MO",,,
,,,11.3,JP,,,
,,,13,NI,,,
"""4016.9400""","4016.9400 , 18",18,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS ,RAU ,RNZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,10.8,KR,,,
,,,11.5,JP,,,
,,,15.6,NI,,,
"""4016.9500""",4016.9500  18,18,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , NZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,10.8,KR,,,
,,,11.5,JP,,,
,,,15.6,NI,,,
"""4016.9910""",4016.9910 - 8,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"MV,HK,MO",,,
,,,2.1,KR,,,
,,,4.8,"RAS , AU R , KR ,RNZ ,",,,
,,,,"EC,RS",,,
,,,6,JP,,,
,,,7.6,AP,,,
"""4016.9990""",4016.9990 - 10,10,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU ,RNZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,4,PK,,,
,,,6,KR,,,
,,,6.5,AP,,,
,,,7.5,RJP,,,
,,,8,NI,,,
,,,8.7,"EC,RS",,,
"""40.17""",40.17,40.17,,,,,
"""4017.0010""","4017.0010 -, 8",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU ,RNZ ,KH,RS,",,,
,,,,"MV,HK,MO",,,
,,,4.8,"AP, KR",,,
,,,5.1,JP,,,
,,,6.4,NI,,,
,,,6.9,EC,,,
"""4017.0020""",4017.0020 - 15,15,0,"AS,CL,NZ,SG,PE,",0,LD,90
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU,RNZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,9,KR,,,
,,,9.5,JP,,,
,,,12,PK,,,
,,,13,"NI,RS",,,
"""41.01""",41.01,41.01,,,,,
,",",,,,,,
"""-,""","-,",,,,,,
"""8,""","8,",,,,,,
"""10,""","10,",,,,,,
"""0.666666667""",0.666666667,0.666666667,,,,,
"""4101.2011""",4101.2011,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , KR ,RNZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,4.8,AU,,,
,,,5.1,JP,,,
,,,6,AP,,,
"""4101.2019""",4101.2019,5,0,"AS,CL,PK,NZ,PE,CR,",0,"LD,",17
,,,,"CH,IS,KR,AU,GE,MU,",,"KH,",
,,,,"RAS , JP , KR R , NZ ,KH,",,LA,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,3,AU,,,
"""4101.2020""",4101.2020 -,5,0,"AS,CL,PK,NZ,PE,CR,",0,"LD,",30
,,,,"CH,IS,KR,AU,GE,MU,",,"KH,",
,,,,"RAS , AU R , KR R , NZ ,KH,",,LA,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,3.2,JP,,,
"""-,16""","-,16",,,,,,
"""4101.5011""",4101.5011,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , KR R , NZ ,KH,RS,",,,
,,,,"MV,HK,MO",,,
,,,5,AU,,,
,,,5.3,JP,,,
,,,6.4,NI,,,
,,,6.6,AP,,,
,,,7.1,EC,,,
"""4101.5019""",4101.5019,5,0,"AS,CL,PK,NZ,PE,CR,",0,"LD,",17
,,,,"CH,IS,KR,AU,GE,MU,",,"KH,",
,,,,"RAS R , JP R , KR , NZ ,KH,",,LA,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,3,AU,,,
"""4101.5020""",4101.5020 -,5,0,"AS,CL,PK,NZ,PE,CR,",0,"LD,",30
,,,,"CH,IS,KR,AU,GE,MU,",,"KH,",
,,,,"RAS R , AU R , KR , NZ ,KH,",,LA,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,3.2,JP,,,
"""-,""","-,",,,,,,
"""4101.9011""",4101.9011,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , KR ,RNZ ,KH,RS,",,,
,,,,"MV,HK,MO",,,
,,,5,AU,,,
,,,5.3,JP,,,
,,,6.4,NI,,,
,,,6.6,AP,,,
,,,7.1,EC,,,
"""4101.9019""",4101.9019,5,0,"AS,CL,PK,NZ,PE,CR,",0,"LD,",17
,,,,"CH,IS,KR,AU,GE,MU,",,"KH,",
,,,,"RAS , JP , KR R , NZ ,KH,",,LA,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,3,AU,,,
"""4101.9020""",4101.9020 -,5,0,"AS,CL,PK,NZ,PE,CR,",0,"LD,",30
,,,,"CH,IS,KR,AU,GE,MU,",,"KH,",
,,,,"RAS , AU ,RKR , NZ ,KH,",,LA,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,3.2,JP,,,
"""41.02""",41.02,41.02,,,,,
,",",,,,,,
,",",,,,,,
"""4102.1000""",4102.1000 -,7,0,"AS,CL,PK,NZ,CR,CH,",0,LD,30
,,,,"IS, RKR,AU,GE,MU, AS ,",,,
,,,,"RAU R , KR R , NZ ,KH,RS,",,,
,,,,"MV,HK,MO",,,
,,,4.2,"NI,EC",,,
,,,4.5,JP,,,
"""4102.2110""",4102.2110 -,14,0,"AS,CL,NZ,SG,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,8.4,"AU R , KR",,,
,,,8.9,RJP,,,
,,,11.2,"PK,RS",,,
,,,12.1,NI,,,
"""4102.2190""",4102.2190 -,9,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,,"EC,MV,HK,MO",,,
,,,5.4,"AS R , AU , KR R , NZ ,",,,
,,,,RS,,,
,,,5.7,JP,,,
,,,7.2,NI,,,
,,,8,AP,,,
"""4102.2910""",4102.2910 -,14,0,"AS,CL,NZ,SG,PE,",0,LD,30
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,7,PK,,,
,,,8.4,"AU R , KR",,,
,,,8.9,JP,,,
,,,11.2,RS,,,
,,,12.1,NI,,,
"""4102.2990""",4102.2990 -,7,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , KR ,RNZ ,KH,NI,",,,
,,,,"RS,MV,HK,MO",,,
,,,4.2,RAU,,,
,,,4.5,JP,,,
,,,5.6,EC,,,
,,,6,AP,,,
"""41.03""",41.03,41.03,,,,,
,",",,,,,,
,",",,,,,,
"""4103.2000""",4103.2000 -,9,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , KR R , NZ ,KH,EC,",,,
,,,,"MV,HK,MO",,,
,,,5.4,"AU ,RS",,,
,,,5.7,JP,,,
,,,7.2,NI,,,
"""4103.3000""",4103.3000 - 9,9,0,"AS,CL,PK,NZ,PE,CR,",0,"LD,",30
,,,,"CH,IS,KR,AU,GE,MU,",,MM,
,,,,"RAS R , AU R , KR , NZ ,KH,",,,
,,,,"MV,HK,MO",,,
,,,5.4,RS,,,
,,,5.7,JP,,,
,,,7.2,NI,,,
,,,7.9,EC,,,
"""4103.9011""",4103.9011  14,14,0,"AS,CL,NZ,SG,PE,",0,LD,35
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS ,RNZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,7,PK,,,
,,,8.4,"AU R , KR",,,
,,,8.9,JP,,,
,,,11.2,RS,,,
,,,12.1,NI,,,
"""4103.9019""",4103.9019  9,9,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU ,RKR , NZ ,KH,",,,
,,,,"EC,MV,HK,MO",,,
,,,5.4,RS,,,
,,,5.7,JP,,,
,,,7.2,NI,,,
"""4103.9021""",4103.9021  14,14,0,"AS,CL,NZ,SG,PE,",0,LD,30
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , NZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,7,PK,,,
,,,8.4,"RAU ,RKR",,,
,,,8.9,JP,,,
,,,11.2,RS,,,
,,,12.1,NI,,,
"""4103.9029""",4103.9029  9,9,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS ,RAU R , KR , NZ ,KH,",,,
,,,,"MV,HK,MO",,,
,,,5.4,RS,,,
,,,5.7,JP,,,
,,,7.2,NI,,,
,,,7.9,EC,,,
"""4103.9090""",4103.9090 - 9,9,0,"AS,CL,PK,NZ,PE,CR,",0,"LD,",30
,,,,"CH,IS,KR,AU,GE,MU,",,MM,
,,,,"RAS ,RAU , KR ,RNZ ,KH,",,,
,,,,"EC,MV,HK,MO",,,
,,,5.4,RS,,,
,,,5.7,JP,,,
,,,7.2,NI,,,
"""41.04""",41.04,41.04,,,,,
,",",,,,,,
"""4104.1111""",4104.1111, 6?3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,17
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS ,RAU ,RKR , NZ ,KH,",,,
,,,,"NI,RS,MV,HK,MO",,,
,,,3,AP,,1.2,
,,,,,,AP,
,,,3.6,EC,,,
,,,4.5,JP,,,
"""4104.1119""",4104.1119,6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS ,RAU R , KR ,RNZ ,KH,",,,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,3,AP,,1.5,
,,,,,,AP,
,,,5.1,JP,,,
"""4104.112""",4104.112,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , KR ,RNZ ,KH,",,,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,2.5,AP,,2,
,,,,,,AP,
,,,3.2,JP,,,
"""4104.1911""",4104.1911, 6?3,0,"AS,CL,NZ,PE,CR,CH,",0,LD,17
,,,,"IS,KR,AU,GE,MU,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3,"AP,PK",,1.5,
,,,,,,AP,
,,,3.6,"AS R , AU R , KR R , NZ",,,
,,,3.8,JP,,,
"""4104.1919""",4104.1919,7,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS ,RAU R , KR , NZ ,KH,",,,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,3.5,AP,,1.8,
,,,,,,AP,
,,,4.5,JP,,,
"""4104.1920""",4104.1920 -,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , KR R , NZ ,KH,",,,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,2.5,AP,,1.5,
,,,,,,AP,
,,,4.5,JP,,,
"""4104.41""",4104.41,5?3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,3,"AS R , AU R , KR R , NZ",,2,
,,,,,,AP,
,,,3.2,JP,,,
,,,3.5,AP,,,
"""4104.4910""",4104.4910 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,"LD,",20
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , KR , NZ ,KH,",,AP,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,3.2,JP,,,
,,,3.5,AP,,,
"""4104.4990""",4104.4990 - 7,7,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"EC,MV,HK,MO",,,
,,,1.8,KR,,2.1,
,,,,,,AP,
,,,4.2,"AS R , AU R , KR R , NZ ,",,,
,,,RS,,,,
,,,4.9,AP,,,
,,,5.3,JP,,,
"""41.05""",41.05,41.05,,,,,
""",,""",",,",,,,,,
"""4105.1010""",4105.1010 - 14?10,14?10,0,"AS,CL,NZ,SG,CR,",0,LD,50
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU ,RNZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,4,PK,,2.1,
,,,,,,AP,
,,,7,AP,,,
,,,8.4,KR,,,
,,,8.9,JP,,,
,,,12.1,NI,,,
,,,12.6,EC,,,
"""4105.1090""",4105.1090 - 10,10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,,"IS,KR,AU,GE,MU,RAS ,",,,
,,,,"RAU ,RNZ ,KH,MV,HK,",,,
,,,,MO,,,
,,,4,PK,,2,
,,,,,,AP,
,,,5,AP,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""4105.3000""",4105.3000 - 8,8,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
,,,,"RIS,  KR,  AU,  GE,MU, AS ,",,,
,,,,"RAU ,RNZ ,KH,RS,MV,HK,",,,
,,,,MO,,,
,,,4.8,KR,,4.8,
,,,,,,AP,
,,,5.1,JP,,,
,,,5.6,"AP,PK",,,
,,,6.4,NI,,,
,,,6.9,EC,,,
"""41.06""",41.06,41.06,,,,,
""",,""",",,",,,,,,
"""4106.2100""",4106.2100  14,14,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , NZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,8.4,KR,,2.1,
,,,,,,AP,
,,,8.9,JP,,,
,,,11.2,RS,,,
,,,12,"AP,PK",,,
,,,12.1,NI,,,
,,,12.6,EC,,,
"""4106.2200""",4106.2200  14,14,0,"AS,CL,PK,NZ,SG,",0,LD,50
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , NZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,8.4,KR,,8.4,
,,,,,,AP,
,,,8.9,JP,,,
,,,9.8,AP,,,
,,,11.2,RS,,,
,,,12.1,NI,,,
,,,12.6,EC,,,
"""4106.3110""",4106.3110 - 14?10,14?10,0,"AS,CL,NZ,SG,PE,",0,LD,50
